"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12, 2018","5,462.35","5,376.10","5,480.67","5,375.44","-","2.61%"
"Oct 11, 2018","5,323.54","5,337.15","5,379.45","5,275.51","-","-2.60%"
"Oct 10, 2018","5,465.87","5,318.91","5,481.80","5,297.37","-","3.55%"
"Oct 09, 2018","5,278.49","5,289.58","5,332.74","5,257.77","-","0.30%"
"Oct 08, 2018","5,262.68","5,288.77","5,312.24","5,183.00","-","-0.53%"
"Oct 05, 2018","5,290.89","5,423.05","5,436.87","5,244.16","-","-2.38%"
"Oct 04, 2018","5,419.91","5,437.20","5,442.33","5,360.40","-","-1.11%"
"Oct 03, 2018","5,480.83","5,548.50","5,563.32","5,469.97","-","-0.91%"
"Oct 01, 2018","5,531.17","5,445.88","5,545.03","5,391.62","-","1.22%"
"Sep 28, 2018","5,464.30","5,495.60","5,526.08","5,424.77","-","-0.19%"
"Sep 27, 2018","5,474.71","5,607.98","5,609.47","5,462.85","-","-1.95%"
"Sep 26, 2018","5,583.61","5,612.10","5,625.30","5,561.85","-","0.23%"
"Sep 25, 2018","5,570.90","5,502.44","5,585.49","5,428.02","-","1.26%"
"Sep 24, 2018","5,501.80","5,726.85","5,733.77","5,485.39","-","-3.46%"
"Sep 21, 2018","5,699.10","5,870.85","5,905.33","5,462.04","-","-2.51%"
"Sep 19, 2018","5,845.88","5,921.26","5,933.78","5,837.27","-","-1.01%"
"Sep 18, 2018","5,905.24","5,989.01","6,007.71","5,897.29","-","-1.42%"
"Sep 17, 2018","5,990.19","6,066.17","6,066.17","5,980.17","-","-1.44%"
"Sep 14, 2018","6,077.77","6,018.43","6,083.73","6,014.86","-","1.70%"
"Sep 12, 2018","5,976.32","5,982.21","5,994.39","5,909.16","-","0.13%"
"Sep 11, 2018","5,968.76","6,064.32","6,071.58","5,960.36","-","-1.40%"
"Sep 10, 2018","6,053.41","6,131.21","6,131.40","6,045.89","-","-1.50%"
"Sep 07, 2018","6,145.57","6,152.43","6,154.56","6,103.60","-","-0.02%"
"Sep 06, 2018","6,146.76","6,158.54","6,160.11","6,098.57","-","0.29%"
"Sep 05, 2018","6,129.10","6,146.28","6,163.78","6,070.53","-","-0.35%"
"Sep 04, 2018","6,150.66","6,253.89","6,255.33","6,140.34","-","-1.25%"
"Sep 03, 2018","6,228.68","6,304.67","6,312.30","6,221.38","-","-0.66%"
"Aug 31, 2018","6,269.94","6,277.26","6,301.55","6,246.04","-","-0.24%"
"Aug 30, 2018","6,285.17","6,316.12","6,322.12","6,267.58","-","-0.41%"
"Aug 29, 2018","6,311.00","6,319.88","6,334.82","6,298.37","-","0.02%"
"Aug 28, 2018","6,309.47","6,314.76","6,329.89","6,287.11","-","0.18%"
"Aug 27, 2018","6,298.17","6,271.20","6,309.48","6,254.09","-","1.13%"
"Aug 24, 2018","6,227.84","6,273.00","6,277.68","6,221.51","-","-0.49%"
"Aug 23, 2018","6,258.75","6,321.56","6,331.73","6,253.80","-","-0.63%"
"Aug 21, 2018","6,298.20","6,310.32","6,316.55","6,280.95","-","-0.03%"
"Aug 20, 2018","6,300.25","6,283.16","6,310.11","6,283.16","-","0.66%"
"Aug 17, 2018","6,258.95","6,241.29","6,269.01","6,233.28","-","0.84%"
"Aug 16, 2018","6,206.89","6,251.74","6,261.05","6,195.68","-","-0.93%"
"Aug 14, 2018","6,265.31","6,247.70","6,274.07","6,241.25","-","0.67%"
"Aug 13, 2018","6,223.38","6,252.44","6,263.43","6,215.64","-","-1.33%"
"Aug 10, 2018","6,307.53","6,354.79","6,359.70","6,298.07","-","-0.64%"
"Aug 09, 2018","6,348.41","6,328.41","6,352.57","6,319.82","-","0.67%"
"Aug 08, 2018","6,305.86","6,287.37","6,319.76","6,267.62","-","0.47%"
"Aug 07, 2018","6,276.33","6,298.82","6,303.03","6,265.43","-","-0.09%"
"Aug 06, 2018","6,281.84","6,275.69","6,300.29","6,270.64","-","0.60%"
"Aug 03, 2018","6,244.33","6,188.72","6,252.16","6,185.55","-","1.44%"
"Aug 02, 2018","6,155.93","6,202.53","6,202.53","6,150.69","-","-0.89%"
"Aug 01, 2018","6,211.26","6,249.23","6,257.03","6,188.13","-","-0.54%"
"Jul 31, 2018","6,245.18","6,282.98","6,282.98","6,218.24","-","-0.53%"
"Jul 30, 2018","6,278.56","6,272.34","6,288.93","6,241.06","-","0.47%"
"Jul 27, 2018","6,248.94","6,222.57","6,252.36","6,214.98","-","0.94%"
"Jul 26, 2018","6,190.94","6,129.64","6,205.17","6,116.99","-","1.29%"
"Jul 25, 2018","6,112.30","6,100.74","6,124.08","6,091.47","-","0.46%"
"Jul 24, 2018","6,084.20","6,078.76","6,097.00","6,052.78","-","0.42%"
"Jul 23, 2018","6,058.86","6,010.41","6,063.97","5,999.20","-","0.51%"
"Jul 20, 2018","6,027.86","5,994.75","6,035.75","5,972.39","-","0.53%"
"Jul 19, 2018","5,996.08","6,039.10","6,040.30","5,983.44","-","-0.38%"
"Jul 18, 2018","6,018.99","6,066.51","6,075.11","6,012.28","-","-0.24%"
"Jul 17, 2018","6,033.29","5,970.82","6,037.42","5,947.89","-","1.23%"
"Jul 16, 2018","5,960.08","6,030.74","6,030.74","5,950.79","-","-0.91%"
"Jul 13, 2018","6,014.70","6,039.92","6,044.97","6,005.73","-","-0.28%"
"Jul 12, 2018","6,031.60","5,996.72","6,060.80","5,996.51","-","0.91%"
"Jul 11, 2018","5,976.98","6,013.05","6,023.93","5,967.19","-","-0.47%"
"Jul 10, 2018","6,005.07","5,974.86","6,009.22","5,968.02","-","0.92%"
"Jul 09, 2018","5,950.56","5,927.72","5,963.21","5,927.72","-","0.68%"
"Jul 06, 2018","5,910.59","5,901.59","5,938.97","5,893.74","-","-0.02%"
"Jul 05, 2018","5,911.53","5,909.79","5,932.15","5,896.04","-","0.20%"
"Jul 04, 2018","5,899.59","5,850.85","5,908.12","5,840.23","-","0.78%"
"Jul 03, 2018","5,853.82","5,863.59","5,871.33","5,831.30","-","-0.04%"
"Jul 02, 2018","5,856.40","5,897.30","5,917.37","5,822.41","-","-0.57%"
"Jun 29, 2018","5,890.24","5,862.32","5,898.96","5,859.64","-","0.58%"
"Jun 28, 2018","5,856.50","5,908.15","5,917.13","5,833.29","-","-0.99%"
"Jun 27, 2018","5,914.97","5,972.55","5,985.74","5,898.56","-","-0.98%"
