ip1,ip2,output
24.09,17.99,55.19
24.72,16.83,48.12
24.78,16.67,51.54
24.04,17.60,54.68
22.62,19.58,54.00
20.55,23.00,38.25
17.15,30.00,38.86
15.73,33.84,40.68
14.86,36.84,65.44
14.14,39.45,67.59
13.51,41.66,69.70
12.90,43.69,67.37
12.35,45.01,70.10
11.88,45.62,75.29
11.42,45.94,73.38
10.92,46.56,84.98
10.39,47.56,86.82
9.82,48.81,86.00
9.27,50.08,81.52
9.21,49.43,75.12
11.78,40.64,41.89
16.24,29.00,84.75
21.00,18.60,121.49
23.41,14.96,126.47
25.01,12.75,103.49
25.95,11.11,109.79
26.24,9.99,124.49
25.80,9.44,108.62
24.55,9.61,117.42
22.31,10.81,122.42
18.34,14.50,92.49
16.65,16.21,69.53
15.53,17.04,76.51
14.70,17.32,69.03
13.92,17.50,71.31
13.22,17.64,67.40
12.58,17.98,76.26
11.94,18.60,74.78
11.33,19.31,74.51
10.60,20.32,88.88
9.88,21.31,87.65
9.22,22.09,85.80
8.67,22.69,85.61
8.93,22.12,86.80
12.63,17.34,35.99
16.54,13.62,88.44
21.59,8.90,106.07
