"Date","Price","Open","High","Low","Vol.","Change %"
"May 17, 2019","23,759.21","23,582.59","23,880.09","23,515.32","324.63M","0.91%"
"May 16, 2019","23,545.83","23,463.17","23,644.59","23,376.43","232.70M","0.70%"
"May 15, 2019","23,381.28","23,497.61","23,613.36","23,348.81","709.88M","-0.18%"
"May 14, 2019","23,423.17","23,222.16","23,544.32","22,952.72","306.77M","0.86%"
"May 13, 2019","23,223.14","23,306.48","23,401.82","23,195.91","248.79M","-0.38%"
"May 10, 2019","23,312.86","22,806.65","23,383.20","22,751.21","996.92M","1.51%"
"May 09, 2019","22,966.10","23,015.51","23,138.30","22,812.92","405.87M","0.30%"
"May 08, 2019","22,897.22","23,062.61","23,102.96","22,772.11","419.16M","-0.62%"
"May 07, 2019","23,040.84","23,236.92","23,355.91","22,990.29","459.43M","0.04%"
"May 06, 2019","23,031.31","23,689.99","23,709.95","22,962.63","338.04M","-2.82%"
"May 03, 2019","23,700.81","23,768.86","23,875.39","23,644.15","217.18M","0.23%"
"May 02, 2019","23,646.23","23,886.17","23,886.17","23,594.64","157.75M","-0.95%"
"Apr 30, 2019","23,873.81","23,675.60","23,914.10","23,586.74","215.51M","0.96%"
"Apr 26, 2019","23,646.46","23,891.31","23,957.85","23,608.69","169.11M","-1.00%"
"Apr 25, 2019","23,884.19","23,996.43","24,179.55","23,824.77","182.07M","-0.20%"
"Apr 24, 2019","23,932.06","23,773.20","23,990.33","23,764.82","206.69M","0.51%"
"Apr 23, 2019","23,810.49","23,662.66","23,918.69","23,590.54","738.95M","0.96%"
"Apr 22, 2019","23,583.45","23,654.58","23,664.56","23,461.31","242.98M","-0.14%"
"Apr 18, 2019","23,616.28","23,739.73","23,767.64","23,449.66","216.27M","-0.04%"
"Apr 16, 2019","23,626.03","23,395.10","23,687.01","23,395.10","233.51M","1.16%"
"Apr 15, 2019","23,354.16","23,365.82","23,484.93","23,325.68","218.62M","0.00%"
"Apr 12, 2019","23,353.67","23,487.88","23,557.22","23,314.24","296.45M","-0.37%"
"Apr 11, 2019","23,440.14","23,274.03","23,487.60","23,158.62","884.95M","0.86%"
"Apr 10, 2019","23,240.89","23,244.10","23,311.59","23,098.77","220.66M","0.07%"
"Apr 09, 2019","23,224.07","23,385.25","23,420.01","23,122.71","263.66M","-0.40%"
"Apr 08, 2019","23,317.56","23,071.31","23,585.40","23,071.31","243.16M","-0.59%"
"Apr 05, 2019","23,456.09","23,632.88","23,705.47","23,393.92","619.52M","0.04%"
"Apr 04, 2019","23,445.70","23,550.14","23,661.39","23,288.60","303.70M","-0.15%"
"Apr 03, 2019","23,480.26","23,634.30","23,924.93","23,412.33","350.98M","-0.49%"
"Apr 02, 2019","23,596.57","23,921.65","23,921.65","23,556.55","16.65B","-0.46%"
"Apr 01, 2019","23,705.94","23,971.97","24,174.38","23,638.09","681.49M","-0.63%"
"Mar 29, 2019","23,856.65","23,795.54","23,985.67","23,505.91","265.91M","0.73%"
"Mar 28, 2019","23,684.18","23,456.85","23,764.22","23,433.15","309.87M","1.20%"
"Mar 27, 2019","23,403.48","23,365.07","23,502.25","23,251.17","425.35M","0.51%"
"Mar 26, 2019","23,284.88","23,049.08","23,372.75","22,957.42","312.61M","1.08%"
"Mar 25, 2019","23,035.47","23,114.25","23,194.38","22,941.34","274.26M","-0.46%"
"Mar 22, 2019","23,141.99","23,288.90","23,410.73","23,018.06","346.65M","-0.23%"
"Mar 20, 2019","23,196.04","23,296.42","23,314.76","23,096.14","405.01M","0.02%"
"Mar 19, 2019","23,192.43","23,111.00","23,224.42","23,056.34","288.84M","0.62%"
"Mar 18, 2019","23,049.36","23,093.46","23,229.16","22,947.39","280.93M","0.05%"
"Mar 15, 2019","23,037.67","22,974.16","23,254.21","22,940.96","527.81M","0.33%"
"Mar 14, 2019","22,961.78","22,928.59","23,008.75","22,737.62","313.49M","0.08%"
"Mar 13, 2019","22,944.36","23,146.51","23,255.69","22,781.00","291.69M","-0.39%"
"Mar 12, 2019","23,033.88","22,976.62","23,289.08","22,911.65","572.27M","0.87%"
"Mar 11, 2019","22,834.59","22,474.64","22,959.10","22,438.95","487.93M","2.32%"
"Mar 08, 2019","22,317.21","22,220.02","22,363.55","22,038.51","296.22M","0.54%"
"Mar 07, 2019","22,198.26","22,445.72","22,493.24","22,155.15","653.11M","-0.53%"
"Mar 06, 2019","22,316.78","22,078.78","22,434.27","22,073.01","487.85M","1.36%"
"Mar 05, 2019","22,018.05","21,503.11","22,060.08","21,480.90","527.52M","2.41%"
"Mar 01, 2019","21,499.15","21,516.65","21,585.61","21,356.00","377.55M","0.42%"
"Feb 28, 2019","21,410.25","21,215.57","21,509.54","20,991.79","382.97M","1.49%"
"Feb 27, 2019","21,095.56","21,320.94","21,494.02","21,027.04","355.48M","-0.70%"
"Feb 26, 2019","21,244.47","21,317.01","21,333.87","20,920.97","246.53M","-0.43%"
"Feb 25, 2019","21,336.52","21,319.85","21,487.65","21,255.79","212.91M","0.25%"
"Feb 22, 2019","21,282.27","21,321.61","21,352.54","21,187.82","192.63M","-0.18%"
"Feb 21, 2019","21,321.05","21,116.55","21,355.63","21,047.57","513.48M","1.02%"
"Feb 20, 2019","21,104.87","20,862.58","21,194.18","20,862.58","296.92M","1.28%"
"Feb 19, 2019","20,838.91","20,793.83","21,094.74","20,778.91","241.59M","0.20%"
"Feb 18, 2019","20,797.86","21,090.52","21,136.65","20,771.74","207.14M","-1.39%"
"Feb 15, 2019","21,092.00","21,211.10","21,211.10","20,858.48","425.82M","-0.29%"
"Feb 14, 2019","21,154.25","21,200.01","21,319.81","20,993.54","689.36M","-0.42%"
"Feb 13, 2019","21,244.53","21,575.70","21,620.66","21,193.49","299.57M","-1.36%"
"Feb 12, 2019","21,536.89","21,579.57","21,651.97","21,460.70","395.94M","-0.07%"
"Feb 11, 2019","21,552.57","21,704.19","21,725.07","21,439.59","301.44M","-0.47%"
"Feb 08, 2019","21,654.96","21,853.76","22,014.61","21,605.81","513.08M","-0.95%"
"Feb 07, 2019","21,863.07","21,721.80","21,926.67","21,666.15","519.47M","0.46%"
"Feb 06, 2019","21,762.16","21,894.75","21,905.05","21,605.79","347.84M","-0.39%"
