Date,Price,Open,High,Low,Volume,Chg%
"Jan 12, 2018","7,391.01","7,363.24","7,421.78","7,363.24",0,0.38%
"Jan 11, 2018","7,363.24","7,434.24","7,475.27","7,351.54",0,-0.96%
"Jan 10, 2018","7,434.24","7,575.33","7,575.33","7,431.48",0,-1.86%
"Jan 09, 2018","7,575.33","7,564.94","7,608.61","7,549.25",0,0.14%
"Jan 08, 2018","7,564.94","7,564.34","7,590.50","7,535.60",0,0.01%
"Jan 05, 2018","7,564.34","7,487.94","7,565.18","7,472.78",0,1.02%
"Jan 04, 2018","7,487.94","7,470.10","7,499.05","7,446.46",0,0.24%
"Jan 03, 2018","7,470.10","7,474.47","7,517.82","7,439.01",0,-0.06%
"Jan 02, 2018","7,474.47","7,576.26","7,596.18","7,467.21",0,-1.34%
"Dec 29, 2017","7,576.26","7,544.15","7,592.71","7,520.32",0,0.43%
"Dec 28, 2017","7,544.15","7,569.56","7,606.94","7,544.15",0,-0.34%
"Dec 27, 2017","7,569.56","7,530.03","7,586.66","7,491.47",0,0.52%
"Dec 22, 2017","7,530.03","7,490.89","7,543.07","7,462.33",0,0.52%
"Dec 21, 2017","7,490.89","7,410.60","7,508.45","7,374.88",0,1.08%
"Dec 20, 2017","7,410.60","7,469.00","7,482.33","7,396.36",0,-0.78%
"Dec 19, 2017","7,469.00","7,562.03","7,567.66","7,445.12",0,-1.23%
