"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 12, 2018","14,488.50","14,353.73","14,506.83","14,306.10","9.83M","1.00%"
"Dec 11, 2018","14,345.52","14,151.63","14,431.99","14,077.42","8.12M","1.19%"
"Dec 10, 2018","14,176.98","14,317.04","14,442.73","14,132.57","6.77M","-1.60%"
"Dec 07, 2018","14,407.42","14,390.24","14,444.76","14,221.29","6.26M","0.32%"
"Dec 06, 2018","14,361.01","14,531.46","14,670.57","14,315.54","8.13M","-1.67%"
"Dec 05, 2018","14,604.52","14,590.18","14,647.80","14,437.13","6.21M","-0.17%"
"Dec 04, 2018","14,629.32","14,420.01","14,659.75","14,382.54","7.22M","1.71%"
"Dec 03, 2018","14,383.79","14,365.39","14,466.11","14,298.96","5.84M","0.61%"
"Nov 30, 2018","14,296.74","14,172.70","14,360.12","14,172.70","4.64M","1.03%"
"Nov 29, 2018","14,151.49","14,413.57","14,438.88","14,132.18","8.20M","-1.00%"
"Nov 28, 2018","14,294.79","13,866.35","14,318.36","13,838.51","7.32M","3.58%"
"Nov 27, 2018","13,800.27","13,666.50","13,832.49","13,584.82","7.01M","1.67%"
"Nov 26, 2018","13,573.90","13,497.58","13,645.99","13,178.60","5.27M","0.97%"
"Nov 22, 2018","13,443.54","13,522.23","13,654.63","13,420.07","5.86M","-0.10%"
"Nov 21, 2018","13,457.03","13,866.66","13,867.36","13,383.09","8.29M","-2.92%"
"Nov 20, 2018","13,862.09","14,094.45","14,110.35","13,849.47","8.74M","-1.74%"
"Nov 19, 2018","14,107.15","14,093.88","14,141.24","13,989.19","9.61M","0.63%"
"Nov 16, 2018","14,019.40","14,105.49","14,111.57","13,933.35","13.38M","0.31%"
"Nov 15, 2018","13,976.42","13,962.11","14,171.44","13,896.45","7.89M","-0.07%"
"Nov 14, 2018","13,986.21","14,334.49","14,334.49","13,862.74","8.09M","-2.24%"
"Nov 13, 2018","14,306.15","14,288.12","14,337.63","14,157.03","6.42M","0.39%"
"Nov 12, 2018","14,250.40","14,226.04","14,437.74","14,217.47","11.42M","0.46%"
"Nov 09, 2018","14,185.47","14,407.16","14,453.84","14,141.14","13.67M","-1.19%"
"Nov 07, 2018","14,356.16","14,340.68","14,384.28","14,316.60","3.74M","0.90%"
"Nov 06, 2018","14,228.40","14,148.78","14,309.01","14,113.11","7.57M","0.99%"
"Nov 05, 2018","14,088.24","14,077.64","14,187.90","14,044.71","7.81M","0.02%"
"Nov 02, 2018","14,085.44","14,292.17","14,412.34","14,067.28","10.76M","-1.32%"
"Nov 01, 2018","14,273.37","14,611.39","14,616.86","14,180.78","8.45M","-1.78%"
"Oct 31, 2018","14,531.60","14,115.33","14,575.27","14,084.06","6.69M","3.53%"
"Oct 30, 2018","14,036.71","13,762.14","14,102.66","13,699.25","7.29M","1.71%"
"Oct 29, 2018","13,801.20","13,537.86","13,869.58","13,416.14","5.76M","2.40%"
"Oct 26, 2018","13,477.25","13,744.69","13,760.87","13,453.25","7.26M","-2.05%"
"Oct 25, 2018","13,759.80","13,632.78","13,853.77","13,558.87","7.25M","-0.04%"
"Oct 24, 2018","13,765.56","13,886.81","13,926.90","13,626.97","6.41M","-0.22%"
"Oct 23, 2018","13,795.59","14,155.05","14,182.74","13,761.80","9.81M","-2.79%"
"Oct 22, 2018","14,191.40","14,389.95","14,502.25","14,130.96","11.44M","-0.73%"
"Oct 19, 2018","14,295.71","14,568.40","14,570.32","14,219.59","6.92M","-2.60%"
"Oct 17, 2018","14,677.61","14,837.24","14,996.39","14,634.06","8.04M","0.00%"
"Oct 16, 2018","14,677.46","14,725.82","14,786.08","14,599.86","5.45M","0.46%"
"Oct 15, 2018","14,610.11","14,449.71","14,677.92","14,375.13","5.75M","2.17%"
"Oct 12, 2018","14,299.14","14,457.82","14,528.05","14,161.81","6.59M","-0.79%"
"Oct 11, 2018","14,413.70","14,617.83","14,637.07","14,287.08","7.30M","-3.21%"
"Oct 10, 2018","14,891.63","15,179.50","15,194.30","14,816.18","7.71M","-1.52%"
"Oct 09, 2018","15,121.88","15,102.75","15,217.53","14,934.14","8.10M","0.18%"
"Oct 08, 2018","15,094.75","15,322.40","15,382.86","14,988.11","6.48M","-1.37%"
"Oct 05, 2018","15,304.42","15,152.21","15,444.72","15,023.04","7.17M","1.11%"
"Oct 04, 2018","15,136.99","15,629.84","15,629.84","15,105.23","11.26M","-3.28%"
"Oct 03, 2018","15,650.91","15,999.26","16,067.01","15,619.33","10.24M","-2.23%"
"Oct 01, 2018","16,007.53","15,696.06","16,087.82","15,682.12","21.74M","2.42%"
"Sep 28, 2018","15,628.94","15,667.83","15,734.51","15,538.06","24.83M","-0.53%"
"Sep 27, 2018","15,711.77","15,632.04","15,784.85","15,607.72","13.30M","0.77%"
"Sep 26, 2018","15,592.04","15,949.19","15,949.19","15,534.45","5.07M","-1.60%"
"Sep 25, 2018","15,845.65","15,824.24","15,954.31","15,715.77","6.46M","0.37%"
"Sep 24, 2018","15,787.79","15,495.10","15,855.82","15,443.23","8.66M","2.06%"
