Date,Open,High,Low,Close,Adj Close,Volume,Google
12/23/2019,70.1325,73.4925,70.092499,72.449997,71.493759,386438000,50
12/30/2019,72.364998,75.150002,71.305,74.357498,73.376083,526723200,40
1/6/2020,73.447502,78.167503,73.1875,77.582497,76.558517,670091600,35
1/13/2020,77.910004,79.684998,77.387497,79.682503,78.630814,652055600,33
1/20/2020,79.297501,80.832497,78.912498,79.577499,78.527191,463685200,33
1/27/2020,77.514999,81.962502,76.220001,77.377502,76.356224,866734800,32
2/3/2020,76.074997,81.305,75.555,80.0075,78.951523,652341200,31
2/10/2020,78.544998,81.805,78.462502,81.237503,80.355545,492263600,31
2/17/2020,78.839996,81.162498,77.625,78.262497,77.412834,476635200,31
2/24/2020,74.315002,76.044998,64.092499,68.339996,67.598053,1398039200,30
3/2/2020,70.57,76,69.43,72.2575,71.473038,1293800800,31
3/9/2020,65.9375,71.610001,62,69.4925,68.738052,1616839600,31
3/16/2020,60.487499,64.769997,57,57.310001,56.687809,1620263600,31
3/23/2020,57.02,64.669998,53.1525,61.935001,61.262596,1384190000,31
3/30/2020,62.685001,65.622498,59.224998,60.352501,59.697281,837010800,33
4/6/2020,62.724998,67.925003,62.345001,66.997498,66.270134,735437600,30
4/13/2020,67.077499,72.0625,66.457497,70.699997,69.932442,829547200,38
4/20/2020,69.487503,70.752502,66.357498,70.7425,69.974487,678844800,35
4/27/2020,70.449997,74.75,69.550003,72.267502,71.482918,790054000,36
5/4/2020,72.292503,77.587502,71.580002,77.532501,76.690765,672706400,36
5/11/2020,77.025002,79.922501,75.052498,76.927498,76.298309,834147600,34
5/18/2020,78.292503,80.222504,77.580002,79.722504,79.070457,532904800,35
5/25/2020,80.875,81.059998,78.272499,79.485001,78.834908,525560400,35
6/1/2020,79.4375,82.9375,79.302498,82.875,82.197174,497736000,35
6/8/2020,82.5625,88.692497,81.830002,84.699997,84.00724,811826800,34
6/15/2020,83.3125,89.139999,83.144997,87.43,86.714905,779940400,35
6/22/2020,87.834999,93.095001,87.787498,88.407501,87.684418,883003200,38
6/29/2020,88.3125,92.6175,87.82,91.027496,90.282982,495648000,35
7/6/2020,92.5,96.317497,92.467499,95.919998,95.135468,564072000,36
7/13/2020,97.264999,99.955002,93.877502,96.327499,95.539627,718600800,35
7/20/2020,96.417503,99.25,89.144997,92.614998,91.857506,665196000,36
7/27/2020,93.709999,106.415001,93.247498,106.260002,105.3909,847635600,37
8/3/2020,108.199997,114.412498,107.892502,111.112503,110.203712,1003474000,37
8/10/2020,112.599998,116.042503,109.107498,114.907501,114.173157,941551200,37
8/17/2020,116.0625,124.8675,113.962502,124.370003,123.575188,835695200,39
8/24/2020,128.697495,128.785004,123.052498,124.807503,124.009895,1063638000,38
8/31/2020,127.580002,137.979996,110.889999,120.959999,120.186981,1167976600,41
9/7/2020,113.949997,120.5,110,112,111.284241,771441800,38
9/14/2020,114.720001,118.830002,106.089996,106.839996,106.157211,944587000,54
9/21/2020,104.540001,112.860001,103.099998,112.279999,111.562447,847212600,43
9/28/2020,115.010002,117.720001,112.220001,113.019997,112.297714,640562200,39
10/5/2020,113.910004,117,112.25,116.970001,116.222481,548575100,37
10/12/2020,120.059998,125.389999,118.150002,119.019997,118.259369,881222300,56
10/19/2020,119.959999,120.419998,114.279999,115.040001,114.30481,519569600,41
10/26/2020,114.010002,117.279999,107.720001,108.860001,108.164307,684467100,40
11/2/2020,109.110001,119.620003,107.32,118.690002,117.931488,609571800,38
11/9/2020,120.5,121.989998,114.129997,119.260002,118.702286,589577900,44
11/16/2020,118.919998,120.989998,116.809998,117.339996,116.791252,389493400,42
11/23/2020,117.18,117.620003,112.589996,116.589996,116.044762,365024000,49
11/30/2020,116.970001,123.779999,116.809998,122.25,121.678299,543370600,46
12/7/2020,122.309998,125.949997,120.150002,122.410004,121.837555,452278700,42
12/14/2020,122.599998,129.580002,121.540001,126.660004,126.06768,621538100,41
12/21/2020,125.019997,134.410004,123.449997,131.970001,131.352829,433310200,47
12/28/2020,133.990005,138.789993,131.720001,132.690002,132.069473,441102200,44
1/4/2021,133.520004,133.610001,126.379997,132.050003,131.432465,610791200,39
1/11/2021,129.190002,131.449997,126.860001,127.139999,126.545425,482792700,39
1/18/2021,127.779999,139.850006,126.940002,139.070007,138.419632,429687100,37
1/25/2021,143.070007,145.089996,130.210007,131.960007,131.34288,716991000,37
2/1/2021,133.75,137.419998,130.929993,136.759995,136.120438,439303000,36
2/8/2021,136.029999,137.880005,133.690002,135.369995,134.938263,345543100,34
2/15/2021,135.490005,136.009995,127.410004,129.869995,129.455826,363020300,33
2/22/2021,128.009995,129.720001,118.389999,121.260002,120.873283,685989200,33
3/1/2021,123.75,128.720001,117.57,121.419998,121.032768,663456700,33
3/8/2021,120.93,123.209999,116.209999,121.029999,120.644012,586977300,33
3/15/2021,121.410004,127.220001,119.68,119.989998,119.60733,626343500,31
3/22/2021,120.330002,124.239998,118.919998,121.209999,120.823441,488825800,32
3/29/2021,121.650002,124.18,118.860001,123,122.607727,359904000,31
4/5/2021,123.870003,133.039993,123.07,133,132.575836,447820500,31
4/12/2021,132.520004,135,130.630005,134.160004,133.732147,444178800,31
4/19/2021,133.509995,135.529999,131.300003,134.320007,133.891632,421147600,37
4/26/2021,134.830002,137.070007,131.070007,131.460007,131.040756,501621500,33
5/3/2021,132.039993,134.070007,126.699997,130.210007,129.794739,453802300,33
5/10/2021,129.410004,129.539993,122.25,127.449997,127.259331,514165600,31
5/17/2021,126.82,128,122.860001,125.43,125.242355,386352000,32
5/24/2021,126.010002,128.320007,124.550003,124.610001,124.423584,357615000,32
5/31/2021,125.080002,126.160004,123.129997,125.889999,125.701668,278314500,31
6/7/2021,126.169998,128.460007,124.830002,127.349998,127.159477,327048100,35
6/14/2021,127.82,132.550003,127.07,130.460007,130.264832,457142800,32
6/21/2021,130.300003,134.639999,129.210007,133.110001,132.910873,354155800,33
6/28/2021,133.410004,140,133.350006,139.960007,139.750626,321267200,33
7/5/2021,140.070007,145.649994,140.070007,145.110001,144.892914,418559700,32
7/12/2021,146.210007,150,143.630005,146.389999,146.17099,504249300,34
7/19/2021,143.75,148.720001,141.669998,148.559998,148.337753,441563700,35
