date,AAPL,overlap,MSFT,NVDA,V,MA,AVGO,CSCO,ACN,CRM,ADBE
2017-09-06,14.0,1.0,16.0,20.0,59.0,63.0,17.0,20.0,68.0,82.0,3.0
2017-09-07,13.0,1.0,13.0,13.0,61.0,65.0,11.0,17.0,51.0,67.0,14.0
2017-09-08,11.0,,10.0,14.0,58.0,62.0,4.0,23.0,62.0,63.0,7.0
2017-09-09,4.0,,5.0,2.0,74.0,61.0,0.0,7.0,43.0,27.0,7.0
2017-09-10,2.0,,3.0,2.0,67.0,59.0,9.0,14.0,32.0,28.0,11.0
2017-09-11,19.0,,8.0,12.0,59.0,62.0,12.0,21.0,49.0,85.0,6.0
2017-09-12,40.0,,18.0,17.0,63.0,61.0,4.0,21.0,68.0,78.0,3.0
2017-09-13,27.0,,12.0,12.0,59.0,61.0,4.0,21.0,37.0,88.0,16.0
2017-09-14,16.0,,14.0,17.0,62.0,61.0,16.0,19.0,72.0,82.0,13.0
2017-09-15,18.0,,14.0,25.0,60.0,64.0,12.0,26.0,39.0,66.0,7.0
2017-09-16,5.0,,7.0,8.0,73.0,62.0,5.0,4.0,54.0,31.0,4.0
2017-09-17,3.0,,4.0,5.0,78.0,61.0,9.0,3.0,49.0,33.0,4.0
2017-09-18,14.0,,9.0,37.0,62.0,61.0,31.0,18.0,43.0,72.0,13.0
2017-09-19,16.0,,15.0,35.0,63.0,66.0,8.0,24.0,71.0,78.0,48.0
2017-09-20,20.0,,18.0,36.0,62.0,65.0,24.0,9.0,56.0,75.0,42.0
2017-09-21,21.0,,12.0,27.0,59.0,62.0,8.0,22.0,100.0,75.0,16.0
2017-09-22,16.0,,11.0,17.0,61.0,64.0,25.0,32.0,49.0,70.0,7.0
2017-09-23,6.0,,3.0,7.0,77.0,63.0,0.0,7.0,25.0,32.0,7.0
2017-09-24,3.0,,2.0,4.0,73.0,64.0,9.0,4.0,21.0,30.0,0.0
2017-09-25,21.0,,20.0,21.0,62.0,61.0,35.0,24.0,68.0,74.0,16.0
2017-09-26,17.0,,18.0,32.0,62.0,63.0,12.0,28.0,59.0,82.0,16.0
2017-09-27,18.0,,14.0,19.0,63.0,61.0,24.0,15.0,25.0,86.0,10.0
2017-09-28,15.0,,11.0,25.0,61.0,63.0,16.0,12.0,76.0,85.0,10.0
2017-09-29,15.0,,13.0,21.0,58.0,64.0,16.0,16.0,69.0,75.0,7.0
2017-09-30,3.0,,3.0,4.0,67.0,61.0,0.0,11.0,44.0,30.0,4.0
2017-10-01,3.0,,3.0,4.0,72.0,58.0,0.0,10.0,42.0,23.0,0.0
2017-10-02,13.0,,11.0,11.0,59.0,59.0,12.0,15.0,59.0,72.0,19.0
2017-10-03,14.0,,15.0,21.0,58.0,61.0,12.0,37.0,71.0,79.0,16.0
2017-10-04,15.0,,13.0,22.0,60.0,61.0,24.0,43.0,47.0,77.0,6.0
2017-10-05,9.0,,15.0,18.0,66.0,61.0,8.0,18.0,56.0,77.0,0.0
2017-10-06,14.0,,11.0,18.0,63.0,61.0,8.0,16.0,48.0,66.0,13.0
