date,Apple,,apple,aapl,apple store,apple watch,apple iphone,iphone,apple music,aapl stock price,aapl stock,apple pay,apple macbook,apple support,apple watch series 3,apple 4 watch,airpods,semiconductor,TSMC,apple factory,apple earnings,aapl earnings
8/4/2017,22,,22,19,37,14,11,25,19,32,27,13,41,46,1,0,2,47,8,26,3,2
8/5/2017,24,,24,5,43,17,11,28,22,7,6,16,38,49,1,0,2,26,3,27,1,0
8/6/2017,24,,24,3,42,18,12,28,18,5,5,16,42,46,1,0,2,33,5,26,0,0
8/7/2017,24,,24,17,42,16,12,26,17,31,27,14,45,56,1,0,2,56,10,24,3,0
8/8/2017,23,,23,21,40,16,11,25,17,32,30,15,42,66,1,0,2,42,19,22,2,2
8/9/2017,23,,23,17,38,16,11,26,23,19,23,15,45,58,1,0,2,57,14,13,0,1
8/10/2017,23,,23,20,37,15,12,26,22,41,27,15,42,61,1,0,2,64,11,17,1,0
8/11/2017,23,,23,19,40,17,12,26,19,28,27,15,40,54,2,0,2,53,11,16,2,1
8/12/2017,24,,24,3,41,18,12,28,22,19,5,16,43,54,1,0,2,26,5,20,1,0
8/13/2017,24,,24,3,41,18,12,27,21,4,4,13,44,53,1,0,2,21,7,25,1,0
8/14/2017,23,,23,18,42,16,11,25,19,22,32,14,43,58,1,1,2,44,11,22,0,0
8/15/2017,23,,23,18,39,16,11,26,20,41,34,14,48,71,1,0,2,46,20,28,0,1
8/16/2017,23,,23,17,37,15,12,25,18,39,20,15,41,60,1,0,2,53,11,32,0,0
8/17/2017,23,,23,15,38,16,11,25,19,28,25,14,40,58,1,0,2,58,6,21,1,3
8/18/2017,23,,23,15,38,15,13,26,19,35,27,11,39,62,1,0,2,51,20,7,0,0
8/19/2017,24,,24,4,45,17,12,27,21,11,6,13,45,48,2,0,2,29,3,17,1,4
8/20/2017,23,,23,2,41,18,12,28,22,5,3,12,48,43,1,1,2,25,7,17,0,0
8/21/2017,23,,23,12,37,15,13,27,17,16,15,11,39,49,1,0,2,42,11,21,0,0
8/22/2017,23,,23,15,38,16,11,25,18,34,22,14,47,61,1,0,2,65,14,8,0,2
8/23/2017,23,,23,14,37,14,12,26,17,25,22,14,49,61,1,0,2,61,30,18,0,2
8/24/2017,23,,23,11,36,14,11,26,18,20,21,13,49,53,1,0,2,55,11,31,1,0
8/25/2017,24,,24,12,39,14,12,26,27,26,21,16,42,60,2,0,2,53,14,22,1,0
8/26/2017,24,,24,3,41,17,11,27,19,8,5,20,40,53,1,0,2,19,12,36,3,0
8/27/2017,24,,24,2,40,16,12,26,19,8,4,14,41,44,1,0,2,35,4,24,0,0
8/28/2017,23,,23,14,38,15,12,26,18,30,19,12,44,63,1,0,2,48,11,17,1,2
8/29/2017,24,,24,13,41,16,12,26,17,34,19,13,43,61,2,0,2,62,10,35,0,0
8/30/2017,24,,24,15,39,15,12,26,18,35,24,14,45,55,1,0,2,52,20,23,0,1
8/31/2017,24,,24,17,41,14,11,26,17,20,22,14,43,54,1,0,2,46,17,18,0,0
9/1/2017,25,,25,13,39,15,11,27,21,28,21,15,37,54,1,0,2,52,4,19,0,1
9/2/2017,25,,25,3,44,17,12,29,20,3,4,15,47,50,1,0,2,25,14,31,0,3
9/3/2017,26,,26,3,41,17,13,30,19,4,4,14,43,41,1,0,2,31,5,20,0,1
9/4/2017,25,,25,4,41,14,12,27,17,10,7,14,49,55,1,0,2,40,14,40,0,0
9/5/2017,24,,24,14,37,15,12,26,17,27,19,13,43,52,2,0,2,55,5,13,2,0
