Date, Open, High, Low, Close
08/15/18, 899.42, 889.71, 889.71, 889.71
08/14/18, 892.08, 900.68, 900.68, 900.68
08/13/18, 896.82, 892.17, 892.17, 892.17
08/10/18, 904.20, 896.78, 896.78, 896.78
08/09/18, 900.77, 904.24, 904.24, 904.24
08/08/18, 899.60, 900.79, 900.79, 900.79
08/07/18, 896.49, 899.70, 899.70, 899.70
08/06/18, 889.76, 895.72, 895.72, 895.72
08/03/18, 887.19, 889.73, 889.73, 889.73
08/02/18, 881.21, 886.78, 886.78, 886.78
08/01/18, 885.07, 881.23, 881.23, 881.23
07/31/18, 881.26, 885.15, 885.15, 885.15
07/30/18, 889.43, 881.28, 881.28, 881.28
07/27/18, 891.13, 888.25, 888.25, 888.25
07/26/18, 895.15, 890.68, 890.68, 890.68
07/25/18, 888.99, 895.18, 895.18, 895.18
07/24/18, 891.40, 889.02, 889.02, 889.02
07/23/18, 892.42, 891.51, 891.51, 891.51
07/20/18, 896.32, 892.43, 892.43, 892.43
07/19/18, 896.80, 896.45, 896.45, 896.45
07/18/18, 899.04, 898.35, 898.35, 898.35
07/17/18, 896.78, 899.06, 899.06, 899.06
07/16/18, 896.46, 898.17, 898.17, 898.17
07/13/18, 894.14, 896.45, 896.45, 896.45
07/12/18, 888.23, 894.21, 894.21, 894.21
07/11/18, 890.13, 888.23, 888.23, 888.23
07/10/18, 888.25, 890.26, 890.26, 890.26
07/09/18, 877.95, 888.27, 888.27, 888.27
07/06/18, 870.96, 878.01, 878.01, 878.01
07/05/18, 866.50, 871.29, 871.29, 871.29
07/03/18, 871.66, 866.45, 866.45, 866.45
07/02/18, 869.94, 871.65, 871.65, 871.65
06/29/18, 868.77, 870.23, 870.23, 870.23
06/28/18, 862.24, 868.77, 868.77, 868.77
06/27/18, 873.70, 862.22, 862.22, 862.22
06/26/18, 867.50, 873.46, 873.46, 873.46
06/25/18, 886.79, 867.52, 867.52, 867.52
06/22/18, 888.01, 886.81, 886.81, 886.81
06/21/18, 894.27, 888.02, 888.02, 888.02
06/20/18, 890.48, 894.32, 894.32, 894.32
06/19/18, 891.03, 890.09, 890.09, 890.09
06/18/18, 892.50, 891.39, 891.39, 891.39
06/15/18, 891.74, 893.11, 893.11, 893.11
06/14/18, 882.94, 891.01, 891.01, 891.01
06/13/18, 880.84, 882.08, 882.08, 882.08
06/12/18, 876.50, 880.90, 880.90, 880.90
06/11/18, 873.48, 876.48, 876.48, 876.48
06/08/18, 871.27, 873.51, 873.51, 873.51
06/07/18, 869.53, 871.30, 871.30, 871.30
06/06/18, 861.09, 869.77, 869.77, 869.77
06/05/18, 856.21, 861.09, 861.09, 861.09
06/04/18, 846.56, 856.18, 856.18, 856.18
06/01/18, 840.33, 846.58, 846.58, 846.58
05/31/18, 844.71, 840.76, 840.76, 840.76
05/30/18, 837.39, 844.75, 844.75, 844.75
05/29/18, 844.48, 837.77, 837.77, 837.77
05/25/18, 842.89, 844.49, 844.49, 844.49
