date,technology,overlap,computer and information,information,science,design and technology,limited company,engineering,innovation,SEAT,investment fund
2017-09-04,74.0,1.0,24.0,74.0,62.0,22.0,56.0,68.0,68.0,28.0,67.0
2017-09-05,86.0,1.0,24.0,86.0,71.0,36.0,54.0,84.0,71.0,25.0,74.0
2017-09-06,89.0,1.0,21.0,95.0,76.0,32.0,61.0,92.0,74.0,24.0,62.0
2017-09-07,90.0,1.0,28.0,96.0,79.0,67.0,67.0,88.0,78.0,25.0,69.0
2017-09-08,85.0,,25.0,83.0,69.0,8.0,51.0,83.0,61.0,25.0,59.0
2017-09-09,52.0,,18.0,62.0,57.0,27.0,29.0,62.0,41.0,28.0,34.0
2017-09-10,60.0,,12.0,75.0,64.0,44.0,40.0,63.0,44.0,28.0,39.0
2017-09-11,91.0,,34.0,92.0,74.0,54.0,62.0,85.0,73.0,27.0,66.0
2017-09-12,98.0,,24.0,93.0,77.0,30.0,48.0,86.0,73.0,26.0,42.0
2017-09-13,99.0,,29.0,95.0,77.0,76.0,57.0,89.0,75.0,27.0,63.0
2017-09-14,94.0,,16.0,98.0,74.0,100.0,60.0,92.0,76.0,26.0,61.0
2017-09-15,90.0,,19.0,89.0,71.0,57.0,53.0,87.0,71.0,26.0,53.0
2017-09-16,56.0,,18.0,57.0,53.0,45.0,40.0,61.0,43.0,30.0,50.0
2017-09-17,59.0,,12.0,71.0,57.0,26.0,28.0,57.0,49.0,28.0,35.0
2017-09-18,97.0,,31.0,90.0,74.0,68.0,61.0,87.0,73.0,28.0,82.0
2017-09-19,90.0,,21.0,100.0,80.0,53.0,56.0,89.0,83.0,25.0,80.0
2017-09-20,94.0,,42.0,90.0,74.0,30.0,62.0,82.0,84.0,25.0,82.0
2017-09-21,92.0,,19.0,89.0,73.0,69.0,62.0,86.0,74.0,26.0,40.0
2017-09-22,83.0,,25.0,84.0,67.0,8.0,53.0,76.0,65.0,26.0,28.0
2017-09-23,60.0,,9.0,60.0,53.0,54.0,38.0,56.0,36.0,29.0,47.0
2017-09-24,57.0,,6.0,72.0,59.0,61.0,28.0,51.0,46.0,29.0,48.0
2017-09-25,90.0,,26.0,89.0,71.0,46.0,62.0,82.0,73.0,26.0,40.0
2017-09-26,93.0,,26.0,93.0,71.0,38.0,58.0,80.0,90.0,27.0,71.0
2017-09-27,90.0,,16.0,93.0,74.0,45.0,62.0,79.0,66.0,24.0,68.0
2017-09-28,91.0,,24.0,91.0,70.0,62.0,65.0,75.0,80.0,25.0,38.0
2017-09-29,76.0,,36.0,73.0,62.0,56.0,41.0,69.0,74.0,27.0,58.0
2017-09-30,52.0,,22.0,57.0,49.0,9.0,25.0,48.0,38.0,27.0,35.0
2017-10-01,52.0,,9.0,59.0,54.0,17.0,29.0,52.0,50.0,27.0,33.0
2017-10-02,84.0,,34.0,92.0,69.0,46.0,49.0,70.0,70.0,26.0,77.0
2017-10-03,93.0,,16.0,95.0,74.0,46.0,68.0,82.0,80.0,26.0,59.0
2017-10-04,89.0,,21.0,94.0,74.0,46.0,55.0,84.0,79.0,26.0,75.0
2017-10-05,89.0,,32.0,88.0,72.0,92.0,55.0,81.0,71.0,26.0,51.0
2017-10-06,79.0,,24.0,80.0,63.0,8.0,52.0,71.0,64.0,27.0,58.0
2017-10-07,60.0,,3.0,54.0,52.0,27.0,44.0,58.0,43.0,30.0,34.0
2017-10-08,64.0,,18.0,70.0,59.0,87.0,22.0,60.0,46.0,28.0,45.0
2017-10-09,93.0,,24.0,92.0,70.0,61.0,55.0,82.0,63.0,27.0,59.0
2017-10-10,90.0,,21.0,89.0,73.0,52.0,62.0,79.0,82.0,26.0,60.0
2017-10-11,89.0,,18.0,91.0,73.0,61.0,59.0,83.0,74.0,27.0,69.0
2017-10-12,92.0,,8.0,92.0,76.0,55.0,56.0,81.0,77.0,26.0,76.0
2017-10-13,84.0,,19.0,86.0,64.0,64.0,58.0,76.0,57.0,28.0,64.0
