date,healthcare,overlap,health coverage,health,nhs,spire healthcare,continuing healthcare,BMI healthcare,nursing home,AXA PPP,AXA health
2017-09-29,38.0,,68.0,71.0,49.0,26.0,24.0,14.0,44.0,27.0,0.0
2017-09-30,19.0,,32.0,46.0,34.0,30.0,13.0,0.0,27.0,0.0,17.0
2017-10-01,17.0,,27.0,45.0,39.0,14.0,0.0,30.0,25.0,10.0,16.0
2017-10-02,40.0,,47.0,81.0,51.0,37.0,11.0,40.0,45.0,26.0,28.0
2017-10-03,44.0,,48.0,85.0,53.0,38.0,11.0,27.0,41.0,8.0,15.0
2017-10-04,45.0,,65.0,83.0,51.0,38.0,23.0,0.0,41.0,8.0,30.0
2017-10-05,40.0,,58.0,76.0,53.0,0.0,12.0,14.0,38.0,17.0,30.0
2017-10-06,37.0,,35.0,70.0,49.0,13.0,12.0,14.0,40.0,9.0,30.0
2017-10-07,24.0,,35.0,48.0,32.0,15.0,0.0,0.0,26.0,10.0,50.0
2017-10-08,22.0,,46.0,48.0,37.0,0.0,13.0,15.0,25.0,10.0,0.0
2017-10-09,47.0,,51.0,83.0,54.0,0.0,0.0,14.0,41.0,17.0,15.0
2017-10-10,47.0,,43.0,94.0,56.0,25.0,0.0,0.0,46.0,17.0,15.0
2017-10-11,47.0,,41.0,84.0,54.0,25.0,23.0,67.0,42.0,51.0,30.0
2017-10-12,51.0,,31.0,87.0,52.0,38.0,12.0,14.0,44.0,43.0,30.0
2017-10-13,42.0,,25.0,78.0,51.0,66.0,12.0,42.0,43.0,26.0,15.0
2017-10-14,26.0,,27.0,48.0,32.0,15.0,0.0,15.0,28.0,10.0,0.0
2017-10-15,22.0,,57.0,49.0,35.0,0.0,0.0,0.0,22.0,0.0,0.0
2017-10-16,46.0,,63.0,86.0,55.0,49.0,11.0,27.0,41.0,17.0,43.0
2017-10-17,43.0,,43.0,83.0,55.0,0.0,11.0,39.0,44.0,8.0,15.0
