date,UNH,overlap,JNJ,PFE,TMO,ABT,ABBV,LLY,DHR,MRK,MDT
2017-09-18,48.0,,22.0,33.0,35.0,55.0,11.0,39.0,45.0,1.0,56.0
2017-09-19,55.0,,14.0,29.0,40.0,56.0,0.0,39.0,41.0,9.0,56.0
2017-09-20,49.0,,19.0,32.0,42.0,52.0,17.0,22.0,45.0,8.0,55.0
2017-09-21,49.0,,10.0,18.0,50.0,49.0,11.0,28.0,69.0,10.0,54.0
2017-09-22,57.0,,23.0,23.0,44.0,48.0,6.0,52.0,56.0,9.0,47.0
2017-09-23,50.0,,4.0,10.0,12.0,56.0,0.0,19.0,23.0,7.0,16.0
2017-09-24,45.0,,5.0,5.0,24.0,44.0,3.0,38.0,32.0,6.0,36.0
2017-09-25,45.0,,10.0,29.0,60.0,65.0,11.0,22.0,28.0,6.0,47.0
2017-09-26,42.0,,11.0,27.0,49.0,61.0,14.0,33.0,62.0,19.0,52.0
2017-09-27,56.0,,17.0,20.0,30.0,61.0,6.0,17.0,45.0,15.0,50.0
2017-09-28,16.0,,17.0,21.0,36.0,66.0,17.0,17.0,51.0,9.0,53.0
2017-09-29,29.0,,14.0,19.0,47.0,68.0,18.0,48.0,35.0,5.0,51.0
2017-09-30,33.0,,2.0,0.0,17.0,55.0,3.0,39.0,49.0,5.0,22.0
2017-10-01,50.0,,0.0,8.0,14.0,55.0,0.0,19.0,23.0,6.0,12.0
2017-10-02,60.0,,15.0,22.0,39.0,61.0,14.0,28.0,98.0,10.0,47.0
2017-10-03,49.0,,21.0,25.0,32.0,45.0,11.0,51.0,50.0,11.0,69.0
2017-10-04,44.0,,12.0,29.0,44.0,69.0,11.0,33.0,58.0,9.0,64.0
2017-10-05,40.0,,12.0,27.0,20.0,55.0,11.0,45.0,70.0,4.0,57.0
2017-10-06,45.0,,18.0,18.0,35.0,54.0,11.0,52.0,42.0,3.0,58.0
2017-10-07,22.0,,6.0,8.0,28.0,50.0,3.0,32.0,23.0,9.0,36.0
